"no","part_of_speech","definition","answer"
"89","noun","компьютер","computer"
"90","adv.","слева","left"
"91","verb","уважать","respect"
"92","verb","женить","marry"
"93","noun","рана","wound"
"94","verb","ложиться","lie down (repeatedly)"
"95","noun","коробка","box"
"96","noun","секрет","secret (less formal)"
"97","num.","седьмой","seventh"
"98","noun","холм","hill"
"99","adj.","лесной","forest"
"100","noun","ремень","strap"
"101","","таков","such (nature)"
"102","noun","произведение","work (work of art)"
"103","noun","цифра","digit"
"104","noun","привет","hello"
"105","adj.","телефонный","telephone"
"106","noun","помощник","assistant"
"107","noun","полет","flight"
"108","noun","пожар","fire (conflagration)"
"109","noun","корова","cow"
"110","noun","глупость","stupidity"
"111","verb","расположить","arrange (locate)"
"112","verb","посидеть","sit (sit for a while)"
"113","verb","налить","pour (fill up)"
"114","noun","симптом","symptom"
"115","verb","сообразить","figure out (simple situation)"
"116","adj.","южный","southern"
"117","noun","бумажка","piece of paper"
"118","noun","радио","radio"
"119","adj.","торопливый","hasty"
"120","verb","удаваться","succeed (be succeeding)"
"121","","ха","ha"
"122","noun","профессия","profession"
"123","verb","послышаться","be heard (be audible)"
"124","adj.","ровный","even"
"125","adj.","старинный","ancient (historical)"
"126","noun","разведка","reconnaissance"
"127","noun","свидетель","witness"
"128","verb","указать","point out"
"129","noun","халат","robe"
"130","adj.","сегодняшний","today's"
"131","adj.","зимний","winter"
"132","noun","тьма","darkness (literary)"
"133","verb","повести","lead (lead the way)"
"134","noun","сообщение","message"
"135","noun","гроб","coffin"
"136","verb","подхватить","catch on the move"
"137","noun","яма","pit"
"138","","позади","behind (location)"
"139","noun","жест","gesture"
"140","verb","устраивать","arrange (arranging)"
"141","noun","шоссе","highway (major road)"
"142","verb","участвовать","participate"
"143","noun","уважение","respect"
"144","noun","цепь","chain"
"145","noun","подвал","basement"
"146","adv.","некогда","formerly"
"147","verb","сохранить","preserve (once)"
"148","noun","лампа","lamp"
"149","verb","закрывать","close (repeated action)"
"150","noun","доля","share"
"151","adv.","неплохо","not bad"
"152","adv.","смешно","funny"
"153","adj.","смешной","funny"
"154","verb","понадобиться","be needed"
"155","noun","старушка","old woman (affectionate)"
"156","verb","покачать","nod (swing)"
"157","verb","выясниться","be clarified"
"158","verb","уничтожить","destroy (completely)"
"159","verb","отвести","lead away (specific direction)"
"160","noun","гриб","mushroom"
"161","verb","бродить","wander"
"162","noun","погода","weather"
"163","noun","памятник","monument"
"164","noun","жар","heat"
"165","verb","валяться","lie (be strewn)"
"166","adj.","кожаный","leather"
"167","noun","механизм","mechanism"
"168","noun","Израиль","Israel"
"169","adv.","мирно","peacefully"
"170","adj.","мирный","peaceful"
"171","noun","потеря","loss"
"172","verb","произносить","pronounce (repeatedly)"
"173","noun","контроль","control"
"174","adj.","профессиональный","professional"
"175","noun","дверца","small door"
"176","verb","предупредить","warn (once)"
"177","verb","добиться","achieve (after effort)"
"178","noun","норма","norm"
"179","noun","ложка","spoon"
"180","noun","зарплата","salary"
"181","noun","веревка","rope"
"182","noun","метода","method (method, approach)"
"183","noun","исключение","exception"
"184","verb","убрать","remove (clean up)"
"185","noun","волнение","excitement (agitation, worry)"
"186","verb","поддерживать","maintain"
"187","verb","продавать","sell (repeatedly)"
"188","adv.","нежно","gently (tender)"
"189","adj.","нежный","tender"
"190","noun","баня","bath"
"191","","путем","by means of"
"192","verb","повесить","hang (to suspend something)"
"193","noun","ужин","dinner"
"194","noun","март","March"
"195","verb","оглядываться","look around (continuously)"
"196","noun","сигнал","signal"
"197","verb","сыграть","play (once)"
"198","noun","библиотека","library"
"199","verb","услать","send (formal)"
"200","verb","махать","wave (be waving)"
"201","noun","ЦК","Central Committee"
"202","verb","предполагать","assume"
"203","adv.","заметно","noticeably"
"204","adj.","заметный","noticeable"
"205","noun","сеть","network"
"206","adj.","коричневый","dark brown"
"207","adv.","тщательно","thoroughly"
"208","noun","нерв","nerve"
"209","noun","вертолет","helicopter"
"210","adj.","сладкий","sweet"
"211","noun","лекарство","medicine"
"212","verb","рассчитывать","expect"
"213","verb","запретить","forbid"
"214","noun","кладбище","cemetery"
"215","noun","переход","transition"
"216","verb","сообщать","inform (repeatedly)"
"217","noun","функция","function"
"218","verb","перебить","interrupt (break off)"
"219","noun","пулемет","machine gun"
"220","adj.","металлический","metallic"
"221","noun","батальон","battalion"
"222","noun","грузовик","truck"
"223","adv.","радостно","joyfully"
"224","adj.","радостный","joyful"
"225","noun","император","emperor"
"226","verb","обидеться","be offended"
"227","noun","башня","tower"
"228","adj.","сырой","raw"
"229","noun","инструмент","tool (instrument)"
"230","verb","вынести","carry out"
"231","noun","мелочь","trifle"
"232","adj.","жёсткий","stiff"
"233","adv.","жёстко","harshly"
"234","noun","присутствие","presence"
"235","adj.","разбитый","broken"
"236","verb","поглядывать","glance (glance regularly)"
"237","noun","структура","structure"
"238","verb","отозваться","respond (once)"
"239","adv.","бесконечно","infinitely"
"240","adj.","бесконечный","endless"
"241","noun","ружье","shotgun"
"242","verb","обрадоваться","be delighted"
"243","noun","участник","participant"
"244","verb","попасться","get caught (unexpectedly)"
"245","noun","задание","task (assignment)"
"246","verb","пробормотать","mumble (once)"
"247","verb","покинуть","abandon a place"
"248","noun","перо","feather"
"249","noun","сфера","sphere"
"250","noun","судья","judge"
"251","adj.","жизненный","vital"
"252","verb","кончить","finish (finish up)"
"253","noun","листок","leaflet"
"254","adj.","равный","equal"
"255","adj.","ужасный","awful"
"256","noun","отдых","rest (relaxation, leisure)"
"257","verb","применять","apply (ongoing process)"
"258","adv.","непременно","inevitably"
"259","noun","золото","gold"
"260","noun","угроза","threat"
"261","verb","доложить","report (once)"
"262","noun","яблоко","apple"
"263","verb","меняться","be getting changed"
"264","adj.","обратный","reverse"
"265","noun","путешествие","journey (voyage)"
"266","noun","традиция","tradition"
"267","adj.","полезный","useful"
"268","noun","Франция","France"
"269","verb","гнать","drive, rush"
"270","verb","выяснить","find out (investigation)"
"271","verb","драться","fight (fight physically)"
"272","noun","раненый","wounded"
"273","adj.","раненый","wounded"
"274","noun","депутат","deputy"
"275","verb","захотеться","feel like"
"276","noun","американец","American"
"277","verb","производить","produce (repeatedly)"
"278","adv.","нигде","nowhere (no location)"
"279","noun","знакомство","meeting (acquaintance)"
"280","verb","заснуть","fall asleep (quickly)"
"281","verb","свернуть","deviate from path"
"282","adv.","задумчиво","thoughtfully"
"283","verb","подозревать","suspect"
"284","adj.","скромный","modest"
"285","verb","спускаться","descend (be descending)"
"286","noun","следствие","investigation (inquiry)"
"287","adj.","медицинский","medical"
"288","verb","договориться","agree (after discussion)"
"289","noun","яйцо","egg"
"290","noun","поступок","deed"
"291","noun","преступник","criminal"
"292","verb","проверять","check (ongoing action)"
"293","verb","присесть","sit down (once)"
"294","noun","звание","rank"
"295","noun","дрова","firewood"
"296","adj.","удобный","convenient"
"297","adv.","аккуратно","neatly"
"298","adj.","аккуратный","neat"
"299","noun","подушка","pillow"
"300","noun","бег","run"
"301","noun","тетка","auntie"
"302","verb","пропустить","miss (event)"
"303","noun","дивизия","division"
"304","noun","коньяк","brandy"
"305","noun","др","etc."
"306","verb","распахнуть","open wide"
"307","adv.","исключительно","exceptionally"
"308","noun","горизонт","horizon"
"309","noun","китайский","Chinese (language)"
"310","adj.","китайский","Chinese"
"311","verb","ползти","move by crawling"
"312","verb","выбраться","get out"
"313","adv.","мрачно","gloomily"
"314","adj.","мрачный","grim"
"315","noun","деталь","detail (more technical)"
"316","noun","контакт","contact"
"317","noun","жук","beetle"
"318","noun","шеф","boss"
"319","noun","Петербург","Saint Petersburg"
"320","adj.","правильный","correct"
"321","verb","погодить","wait (wait for a while)"
"322","noun","новость","news"
"323","adj.","утренний","morning"
"324","noun","гений","genius"
"325","noun","передача","transmission"
"326","noun","редакция","editorial office"
"327","verb","опуститься","descend (lower oneself)"
"328","noun","декабрь","December"
"329","noun","публика","audience"
"330","noun","колхоз","collective farm"
"331","noun","свадьба","wedding"
"332","noun","лук","onion"
"333","noun","городок","village (small town)"
"334","adv.","немало","quite a few"
"335","noun","бандит","bandit"
"336","noun","москвич","Muscovite"
"337","noun","лаборатория","laboratory"
"338","verb","прекратить","cease, stop"
"339","adv.","согласно","according to"
"340","verb","справиться","cope"
"341","noun","молодёжь","youth (as a group)"
"342","noun","ноябрь","November"
"343","noun","строительство","construction (constructing)"
"344","verb","прислушиваться","listen (listen attentively)"
"345","noun","пакет","package"
"346","noun","пенсия","pension"
"347","verb","постараться","try hard (once)"
"348","noun","ценность","value"
"349","noun","заяц","hare"
"350","noun","сэр","sir"
"351","noun","желудок","stomach (stomach, organ)"
"352","noun","слабость","weakness"
"353","noun","танец","dance"
"354","verb","изучать","study (once)"
"355","adv.","удивительно","surprisingly"
"356","verb","пилить","saw (repeatedly)"
"357","noun","князь","prince"
"358","adj.","партийный","party"
"359","noun","бомба","bomb"
"360","noun","воин","soldier (warrior)"
"361","verb","подписать","sign"
"362","noun","стрелок","shooter"
"363","verb","посылать","be sending"
"364","noun","комитет","committee"
"365","noun","карточка","card"
"366","noun","итог","result (final)"
"367","noun","девка","gal"
"368","noun","воображение","imagination"
"369","adj.","душевный","warm-hearted"
"370","adj.","плотный","dense (solid)"
"371","verb","танцевать","dance (general)"
"372","noun","склон","slope"
"373","noun","действительность","reality"
"374","noun","объяснение","explanation"
"375","adj.","серебряный","silver"
"376","verb","подобрать","pick up"
"377","adv.","незаметно","imperceptibly"
"378","verb","осветить","illuminate"
"379","adj.","дешевый","cheap"
"380","adj.","многочисленный","numerous"
"381","noun","степь","steppe"
"382","adj.","стеклянный","glass"
"383","noun","вор","thief"
"384","noun","внук","grandson"
"385","adj.","голодный","hungry"
"386","noun","винтовка","rifle"
"387","noun","лев","lion"
"388","noun","тяжесть","weight (burden)"
"389","verb","приобрести","acquire (completed action)"
"390","noun","оборона","defense"
"391","adv.","ужасно","terribly"
"392","noun","огонек","flame"
"393","verb","поинтересоваться","inquire (casually)"
"394","adj.","вечерний","evening"
"395","verb","заорать","shout out"
"396","verb","трогать","touch (be touching)"
"397","verb","задержать","detain"
"398","noun","подбородок","chin"
"399","noun","стиль","style"
"400","adj.","вещий","ominous (prophetic)"
"401","noun","редактор","editor"
"402","verb","потребовать","demand (immediate)"
"403","noun","щель","crevice"
"404","adv.","вслух","aloud"
"405","verb","блестеть","sparkle"
"406","adj.","противоположный","opposite"
"407","noun","давление","pressure"
"408","adj.","коммунистический","communist"
"409","noun","режиссер","director (film, theater)"
"410","noun","дар","gift (donation)"
"411","noun","метро","metro"
"412","noun","шанс","chance"
"413","adj.","конкретный","specific"
"414","noun","наблюдение","observation"
"415","noun","май","May"
"416","verb","усесться","sit down (ongoing)"
"417","verb","сиять","shine (continuously)"
"418","noun","туча","storm cloud"
"419","adj.","стоящий","worthwhile"
"420","verb","вырваться","break out"
"421","verb","отвернуться","physically turn away"
"422","noun","дума","thought (idea)"
"423","verb","закончиться","end (end completely)"
"424","noun","клиент","client"
"425","noun","двигатель","engine"
"426","noun","сентябрь","September"
"427","adj.","дежурный","duty"
"428","verb","бормотать","mumble (continuously)"
"429","noun","завтрак","breakfast"
"430","verb","состояться","take place (once)"
"431","noun","рыбак","fisherman"
"432","noun","взвод","platoon (smaller unit)"
"433","adv.","особо","particularly"
"434","verb","поправить","fix"
"435","noun","альбом","album"
"436","noun","болото","swamp"
"437","noun","ответственность","responsibility"
"438","verb","ощутить","feel intensely"
"439","verb","беспокоиться","be anxious, worried"
"440","noun","пламя","fire (flame)"
"441","verb","задавать","set, ask"
"442","verb","выдавать","give out (repeatedly)"
"443","verb","полететь","fly off, take off"
"444","adj.","художественный","artistic"
"445","verb","отдохнуть","rest (once)"
"446","noun","снаряд","projectile"
"447","noun","марка","stamp"
"448","noun","заместитель","deputy (assistant)"
"449","noun","папка","folder"
"450","verb","отказываться","refuse (habitually)"
"451","noun","концерт","concert"
"452","adj.","творческий","creative"
"453","noun","разум","mind (intellect)"
"454","adj.","волшебный","magical (enchanting)"
"455","noun","МК","Popular Mechanics"
"456","verb","пояснить","clarify, explain"
"457","adv.","активно","actively"
"458","adj.","активный","active"
"459","noun","услуга","service (usually paid)"
"460","noun","белье","linen"
"461","verb","прощать","forgive (repeatedly)"
"462","noun","благо","good (welfare)"
"463","noun","ангел","angel"
"464","verb","шуметь","make noise"
"465","adj.","одинаковый","identical"
"466","noun","толь","only"
"467","noun","мина","mine"
"468","noun","модель","model"
"469","adj.","массовый","mass"
"470","noun","разрешение","permission"
"471","noun","наличие","presence (availability)"
"472","verb","доноситься","be heard"
"473","noun","этап","stage"
"474","verb","описать","describe (specific instance)"
"475","adv.","невольно","involuntarily"
"476","noun","козёл","goat (male)"
"477","noun","возвращение","return"
"478","verb","класть","put (lay)"
"479","verb","шагать","march"
"480","noun","идиот","idiot"
"481","noun","ненависть","hate"
"482","verb","победить","achieve victory (once)"
"483","verb","плавать","swim (be swimming)"
"484","noun","лётчик","pilot"
"485","noun","лекция","lecture"
"486","adv.","смело","boldly"
"487","adj.","смелый","bold"
"488","adj.","случайный","random"
"489","","каков","what kind of"
"490","noun","печь","oven"
"491","verb","разобрать","dismantle"
"492","noun","государь","ruler"
"493","adv.","замуж","married"
"494","noun","верх","top"
"495","noun","изображение","image (picture)"
"496","noun","моряк","sailor"
"497","noun","речка","river (small)"
"498","noun","республика","republic"
"499","noun","гордость","pride"
"500","noun","бревно","log"
"501","noun","невеста","bride"
"502","verb","потянуться","stretch (stretch oneself)"
"503","adj.","кривой","curved"
"504","","посреди","in the midst of"
"505","verb","предположить","suppose (once)"
"506","noun","прибор","device (instrument)"
"507","noun","кандидат","candidate"
"508","noun","портфель","briefcase"
"509","verb","доставить","deliver (completed action)"
"510","verb","ошибиться","make a mistake (once)"
"511","verb","разбудить","wake someone else"
"512","adj.","невидимый","invisible"
"513","noun","виза","visa"
"514","noun","гибель","death (as in ruin"
"515","verb","прятать","keep hiding"
"516","noun","карьера","career"
"517","verb","водить","drive, conduct"
"518","noun","малыш","baby"
"519","verb","пробовать","try (be trying)"
"520","verb","заплатить","pay (once)"
"521","noun","назначение","appointment"
"522","noun","гвоздь","nail"
"523","noun","кафе","cafe"
"524","noun","убийца","killer"
"525","adj.","неведомый","unknown (mysterious)"
"526","noun","японский","Japanese (language)"
"527","adj.","японский","Japanese"
"528","noun","обязанность","duty"
"529","noun","отель","hotel"
"530","verb","обнять","hug (one-time)"
"531","adj.","допустимый","admissible"
"532","verb","заглядывать","peek (repeatedly)"
"533","noun","подготовка","preparation"
"534","noun","последствие","consequence"
"535","noun","красавица","beauty queen"
"536","noun","ковер","rug"
"537","verb","выбросить","dispose of (once)"
"538","noun","анализ","analysis"
"539","verb","устроиться","settle"
"540","noun","собственность","property"
"541","verb","оценить","estimate"
"542","adv.","немножко","a bit"
"543","verb","хлопнуть","clap (one-time action)"
"544","verb","родить","give birth"
"545","verb","уставиться","get tired (from mental strain)"
"546","adj.","отечественный","domestic, native"
"547","","снизу","underneath"
"548","noun","прокурор","prosecutor"
"549","noun","карандаш","pencil"
"550","noun","принц","prince (more universal term)"
"551","verb","слышаться","be heard (be sounding)"
"552","noun","лидер","leader (non-formal)"
"553","verb","представляться","introduce oneself (formally)"
"554","noun","спирт","ethanol"
"555","verb","обеспечить","provide (fulfill)"
"556","noun","бизнес","business"
"557","noun","иностранец","foreigner"
"558","verb","биться","fight (fight for)"
"559","verb","достигнуть","reach, achieve"
"560","verb","выпускать","release (be releasing)"
"561","noun","поп","priest"
"562","noun","койка","bed (simple, camp type)"
"563","verb","приготовить","prepare (something)"
"564","adj.","жестокий","cruel"
"565","noun","руль","steering wheel"
"566","noun","требование","demand"
"567","noun","сволочь","bastard"
"568","verb","развиваться","develop (ongoing process)"
"569","","увы","alas"
"570","","меж","between (contextual)"
"571","verb","пожалеть","regret (once)"
"572","noun","вызов","challenge"
"573","noun","спутник","satellite"
"574","verb","обойти","bypass (one-time event)"
"575","verb","оторвать","tear off (once)"
"576","noun","отчаяние","despair"
"577","noun","применение","application"
"578","verb","заключаться","consist (temporary)"
"579","verb","организовать","organize"
"580","noun","мука","flour"
"581","verb","приглашать","invite (repeatedly)"
"582","noun","распоряжение","instruction"
"583","adj.","еврейский","Jewish"
"584","noun","галстук","tie"
"585","verb","поддержать","support"
"586","verb","сбить","knock down"
"587","verb","заработать","earn (one-time action)"
"588","noun","госпиталь","hospital (medical institution)"
"589","verb","течь","flow"
"590","adj.","материальный","material"
"591","noun","училище","school (specialized"
"592","verb","последовать","follow, come after"
"593","adj.","отличный","excellent"
"594","noun","стук","knock"
"595","adj.","гигантский","giant"
"596","noun","скандал","scandal"
"597","adj.","ледяной","icy"
"598","noun","отпуск","vacation"
"599","verb","полагаться","rely (continuous)"
"600","verb","доставать","retrieve something"
"601","verb","продолжить","continue (completed action)"
"602","adj.","суровый","harsh"
"603","noun","рукопись","manuscript"
"604","noun","дура","fool (female)"
"605","noun","полицейский","policeman"
"606","adj.","полицейский","police"
"607","noun","кадр","frame"
"608","noun","сиденье","seat"
"609","adv.","ныне","nowadays"
"610","verb","указывать","indicate"
"611","noun","экспедиция","expedition"
"612","noun","спичка","match"
"613","verb","сложиться","shape"
"614","adj.","таинственный","mysterious (mystic)"
"615","noun","брак","marriage"
"616","noun","посуда","dishes"
"617","adj.","снежный","snowy"
"618","adj.","горный","mountain"
"619","noun","справедливость","justice"
"620","noun","лопата","shovel"
"621","verb","набрать","dial (one-time action)"
"622","noun","кнопка","button"
"623","verb","предпочитать","prefer"
"624","adj.","необыкновенный","extraordinary"
"625","verb","научить","teach"
"626","noun","мистер","mister"
"627","noun","дорожка","track"
"628","noun","проявление","manifestation"
"629","noun","такси","taxi"
"630","","внутрь","into (inside)"
"631","adv.","ловко","skillfully"
"632","noun","хрен","horseradish"
"633","noun","владелец","owner (property)"
"634","noun","свинья","pig"
"635","noun","плод","fruit (fruit, result)"
"636","verb","интересоваться","be interested"
"637","verb","расстрелять","shoot (execute by shooting)"
"638","verb","побывать","visit once"
"639","adv.","вовремя","on time"
"640","verb","заплакать","cry (sudden)"
"641","verb","окружить","surround (once)"
"642","noun","заседание","meeting (session, sitting)"
"643","noun","патрон","cartridge"
"644","adv.","охотно","willingly"
"645","verb","раскрыть","reveal"
"646","noun","агент","agent"
"647","noun","супруг","spouse"
"648","noun","январь","January"
"649","noun","соль","salt"
"650","noun","роза","rose"
"651","verb","развести","divorce"
"652","adj.","опытный","experienced"
"653","noun","комиссар","commissar"
"654","noun","свидание","date (as in meeting)"
"655","adj.","воздушный","air"
"656","adj.","вооружённый","armed"
"657","adv.","негромко","quietly (not loud)"
"658","noun","питание","nutrition"
"659","adv.","неловко","awkwardly"
"660","adj.","деловой","business"
"661","noun","кролик","rabbit"
"662","noun","шкура","skin (animal)"
"663","noun","политик","politician"
"664","noun","грохот","rumble"
"665","verb","переживать","endure, worry"
"666","adj.","финансовый","financial"
"667","verb","украсть","steal (once)"
"668","verb","слыхать","hear (colloquially)"
"669","noun","неприятность","misfortune"
"670","adj.","достойный","worthy"
"671","num.","шестьдесят","sixty"
"672","adj.","электрический","electric"
"673","verb","успевать","manage regularly"
"674","verb","пережить","survive (live through)"
"675","noun","контора","office (colloquial)"
"676","adv.","по-русски","in Russian"
"677","verb","возражать","object (continually)"
"678","noun","суп","soup"
"679","adj.","европейский","European"
"680","noun","палата","ward"
"681","adj.","сплошной","solid (continuous)"
"682","noun","мода","fashion"
"683","noun","кусочек","small piece"
"684","adj.","понятный","understandable"
"685","noun","старичок","old man (endearing)"
"686","verb","потянуть","stretch (pull)"
"687","verb","сорвать","tear off"
"688","noun","июнь","June"
"689","noun","порт","port"
"690","noun","комплекс","complex"
"691","adj.","спортивный","sport"
"692","noun","поддержка","support"
"693","noun","блеск","shine"
"694","verb","уснуть","fall asleep"
"695","noun","потребность","need"
"696","noun","лента","tape"
"697","adj.","громадный","huge (gigantic)"
"698","verb","сопровождать","accompany (ongoing)"
"699","verb","открываться","open up (continuously)"
"700","noun","бочок","cask"
"701","noun","музыкант","musician"
"702","noun","договор","contract"
"703","noun","поход","hiking"
"704","verb","подготовить","prepare (in advance)"
"705","noun","мастерская","workshop"
"706","verb","защищать","protect (continually)"
"707","noun","происхождение","origin"
"708","noun","спора","dispute"
"709","verb","ломать","break (general term)"
"710","noun","пушок","down"
"711","noun","рубаха","shirt (more informal"
"712","noun","оболочка","shell"
"713","verb","вступить","join (one-time, formally)"
"714","adv.","недалеко","not far"
"715","verb","выставить","exhibit"
"716","verb","прижать","press (press against)"
"717","noun","препарат","drug"
"718","verb","передавать","transmit"
"719","verb","догадываться","guess (regularly)"
"720","noun","недостаток","shortage"
"721","noun","министерство","ministry"
"722","verb","выступить","perform (perform once)"
"723","verb","отрезать","cut off"
"724","noun","искра","spark"
"725","adj.","дурной","bad (unpleasant)"
"726","noun","трус","coward"
"727","noun","заключение","verdict"
"728","noun","экзамен","exam"
"729","noun","скамейка","bench"
"730","verb","хохотать","laugh (laugh loudly)"
"731","noun","охотник","hunter"
"732","verb","разглядеть","discern"
"733","noun","пустыня","desert"
"734","verb","разбираться","understand (figure out)"
"735","noun","понимание","understanding"
"736","adv.","дважды","twice"
"737","noun","пресса","press"
"738","noun","молния","lightning"
"739","verb","воспользоваться","take advantage of"
"740","adj.","психический","mental"
"741","verb","достаться","be obtained"
"742","noun","сахар","sugar"
"743","noun","реальность","reality (more common)"
"744","noun","одиночество","loneliness"
"745","noun","социализм","socialism"
"746","noun","судно","vessel"
"747","noun","туалет","toilet"
"748","noun","окружающее","surroundings"
"749","adv.","якобы","supposedly"
"750","noun","атмосфера","atmosphere"
"751","noun","удача","luck"
"752","verb","бросаться","rush repeatedly"
"753","noun","оценка","evaluation"
"754","noun","Волга","Volga"
"755","noun","пароход","steamer"
"756","adj.","служебный","official (duty-related)"
"757","","вне","outside"
"758","noun","остановка","stop"
"759","noun","рыцарь","knight"
"760","noun","академик","academician"
"761","noun","пустота","void"
"762","noun","копейка","kopeck"
"763","noun","версия","version"
"764","noun","ножка","leg (small"
"765","adj.","деревенский","rural (village-like)"
"766","noun","аккумулятор","accumulator"
"767","verb","исключить","exclude"
"768","verb","провожать","accompany (specific instance)"
"769","noun","собеседник","interlocutor"
"770","num.","триста","three hundred"
"771","verb","прошептать","whisper (whisper softly)"
"772","adj.","плоский","flat"
"773","noun","зритель","spectator"
"774","adv.","нынче","today (nowadays)"
"775","verb","осмотреть","inspect (carefully)"
"776","adj.","характерный","characteristic"
"777","verb","вздрогнуть","startle (once)"
"778","noun","старость","old age"
"779","noun","цивилизация","civilization"
"780","verb","посвятить","dedicate"
"781","verb","перенести","transfer (once)"
"782","noun","драка","fight (scuffle)"
"783","noun","лифт","elevator"
"784","noun","тряпка","rag"
"785","noun","колбаса","sausage"
"786","verb","прервать","interrupt (abruptly)"
"787","noun","отчет","report"
"788","noun","каша","porridge"
"789","verb","освободить","free"
"790","noun","дьявол","devil (more formal or literal)"
"791","noun","сарай","shed"
"792","noun","использование","use"
"793","noun","творчество","creativity"
"794","adj.","неторопливый","unhurried"
"795","noun","проход","passage"
"796","noun","Чечня","Chechnya"
"797","noun","воробей","sparrow"
"798","verb","учесть","take into account (once)"
"799","verb","походить","resemble"
"800","adv.","относительно","relatively"
"801","verb","подвести","bring up to"
"802","verb","рваться","strive, tear"
"803","noun","мышца","muscle"
"804","adj.","жирный","fatty"
"805","verb","дожидаться","wait for (ongoing)"
"806","noun","рассвет","dawn (sunrise)"
"807","adv.","всерьез","seriously (in earnest)"
"808","verb","кивать","nod (frequently)"
"809","noun","коммунизм","communism"
"810","verb","сбежать","run away (escape)"
"811","noun","глоток","sip"
"812","noun","доказательство","evidence"
"813","verb","ввести","introduce"
"814","noun","нация","nation"
"815","adv.","сердито","angrily"
"816","noun","узел","knot"
"817","adv.","грустно","sadly (sad)"
"818","adj.","грустный","sad (gloomy)"
"819","noun","зависимость","dependence"
"820","noun","груз","cargo"
"821","noun","империя","empire"
"822","verb","определять","determine (ongoing process)"
"823","noun","комбат","commander (colloquial)"
"824","noun","величина","magnitude"
"825","noun","крышка","lid"
"826","noun","воздействие","influence (action)"
"827","verb","допустить","allow (admit)"
"828","verb","сбросить","drop, discard"
"829","noun","кирпич","brick"
"830","verb","полюбить","fall in love (one-time)"
"831","noun","глазок","peephole"
"832","verb","содержать","contain"
"833","noun","турист","tourist"
"834","","де","of"
"835","noun","обмен","exchange"
"836","adj.","всеобщий","universal"
"837","noun","перевод","translation"
"838","num.","четверо","four (people)"
"839","noun","стрела","arrow"
"840","noun","уголок","nook"
"841","adj.","лишенный","deprived"
"842","verb","превращаться","transform (transforming)"
"843","noun","лавка","bench (also a shop)"
"844","adv.","ласково","affectionately"
"845","adj.","ласковый","affectionate"
"846","verb","поцеловать","kiss (one-time)"
"847","noun","блюдо","dish"
"848","verb","арестовать","arrest"
"849","verb","оглядеть","glance (look around)"
"850","noun","ток","current"
"851","adj.","славный","remarkable, great"
